Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Touchscreen,Ips,X_res,Y_res,ppi,Cpu Name,Cpu brand,HDD,SSD,Hybrid,Flash_Storage,Gpu brand,os,gpu_AMD,gpu_Intel,gpu_Nvidia,cpu_brand_AMD Processor,cpu_brand_Intel Core i3,cpu_brand_Intel Core i5,cpu_brand_Intel Core i7,cpu_brand_Other Intel Processor
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16,512 SSD +  1000 HDD,Nvidia GeForce GTX 1060,Windows 10,2.73,95850.72,0,0,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,1000,512,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256 SSD,AMD Radeon R7 M365X,Windows 10,1.84,69103.62719999999,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,AMD,Windows,1,0,0,0,0,0,1,0
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128 SSD +  1000 HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,93186.72,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
HP,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N3710 1.6GHz,4,256 SSD,Intel HD Graphics 405,Windows 10,1.86,21258.1872,0,0,1920,1080,141.21199808219862,Intel Pentium Quad,Other Intel Processor,0,256,0,0,Intel,Windows,0,1,0,0,0,0,0,1
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128 SSD,Intel HD Graphics 620,Windows 10 S,1.252,58021.92,1,0,2256,1504,200.84255993695703,Intel Core i5,Intel Core i5,0,128,0,0,Intel,Windows,0,1,0,0,0,1,0,0
HP,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,512 SSD,Intel HD Graphics 520,Windows 7,1.54,99633.6,0,0,1920,1080,157.3505121487356,Intel Core i7,Intel Core i7,0,512,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Lenovo,Notebook,17.3,1600x900,Intel Core i5 8250U 1.6GHz,8,256 SSD,Nvidia GeForce MX150,No OS,2.8,37189.44,0,0,1600,900,106.11306214269258,Intel Core i5,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux,0,0,1,0,0,1,0,0
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4,1000 HDD,Intel HD Graphics 520,Windows 10,2.18,29762.208,0,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,1000,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,16,1000 SSD,Intel HD Graphics 620,Windows 10,1.2,120093.12,1,0,3200,1800,276.053530085501,Intel Core i7,Intel Core i7,0,1000,0,0,Intel,Windows,0,1,0,0,0,0,1,0
HP,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.28,121318.56,1,0,1920,1080,165.6321180513006,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Dell,Notebook,13.3,1366x768,Intel Core i3 6006U 2GHz,4,128 SSD,Intel HD Graphics 520,Windows 10,1.65,36709.92,0,0,1366,768,117.82653006268643,Intel Core i3,Intel Core i3,0,128,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4,1000 HDD,Intel HD Graphics 520,Linux,2.18,23650.992,0,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,1000,0,0,0,Intel,Others/No OS/Linux,0,1,0,0,1,0,0,0
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,6,256 SSD,AMD Radeon 530,Windows 10,2.2,31838.5296,0,0,1920,1080,141.21199808219862,AMD A12-Series 9720P,AMD Processor,0,256,0,0,AMD,Windows,1,0,0,1,0,0,0,0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8,256 SSD,Intel HD Graphics 520,Windows 10,2.31,62071.2,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128 SSD,Intel HD Graphics 520,No OS,2.2,19660.32,0,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,0,128,0,0,Intel,Others/No OS/Linux,0,1,0,0,1,0,0,0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,8,256 SSD,Intel HD Graphics 520,Windows 10,1.86,28717.92,0,0,1920,1080,141.21199808219862,Intel Core i3,Intel Core i3,0,256,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,AMD Radeon R5 M420,Windows 10,2.18,42081.0768,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,AMD,Windows,1,0,0,0,0,1,0,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8,256 SSD,Intel HD Graphics 520,Windows 10,2.3,71874.72,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Acer,Notebook,14.0,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4,128 Flash Storage,Intel HD Graphics 405,Windows 10,1.6,18594.72,0,0,1366,768,111.93520355955211,Intel Pentium Quad,Other Intel Processor,0,0,0,128,Intel,Windows,0,1,0,0,0,0,0,1
HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.91,35111.52,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.1,14652.0,1,0,1366,768,135.0942111925629,Intel Celeron Dual,Other Intel Processor,0,0,0,32,Intel,Windows,0,1,0,0,0,0,0,1
Dell,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,8,1000 HDD,Intel HD Graphics 620,Windows 10,2.3,24455.52,0,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,1000,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16,512 SSD,Intel UHD Graphics 620,Windows 10,1.62,68145.12,1,0,1920,1080,165.6321180513006,Intel Core i7,Intel Core i7,0,512,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256 SSD,Nvidia GeForce 920MX,Windows 10,2.4,37029.6,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Nvidia,Windows,0,0,1,0,0,1,0,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,128 SSD,Intel HD Graphics 620,No OS,2.2,24935.04,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,128,0,0,Intel,Others/No OS/Linux,0,1,0,0,0,1,0,0
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,500 HDD,Intel HD Graphics 620,Windows 10,2.0,45820.8,0,1,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,500,0,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i3 7100U 2.4GHz,6,1000 HDD,Intel HD Graphics 620,Windows 10,2.3,23389.92,1,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,1000,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Lenovo,Notebook,15.6,1366x768,AMD A6-Series 7310 2GHz,4,500 HDD,AMD Radeon R4,Windows 10,2.19,15877.44,0,0,1366,768,100.45466986113651,AMD A6-Series 7310,AMD Processor,500,0,0,0,AMD,Windows,1,0,0,1,0,0,0,0
HP,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 7500U 2.7GHz,4,256 SSD,Intel HD Graphics 620,Windows 10,1.48,57648.96,0,0,1920,1080,157.3505121487356,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8,256 SSD,Intel HD Graphics 520,Windows 10,1.16,90043.2,0,0,1920,1080,165.6321180513006,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Asus,Notebook,15.6,1366x768,AMD E-Series 7110 1.8GHz,4,500 HDD,AMD Radeon R2 Graphics,Windows 10,2.0,18594.72,0,0,1366,768,100.45466986113651,AMD E-Series 7110,AMD Processor,500,0,0,0,AMD,Windows,1,0,0,1,0,0,0,0
Acer,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1000 HDD,Intel HD Graphics 520,Windows 10,2.1,20725.92,0,0,1366,768,111.93520355955211,Intel Core i3,Intel Core i3,1000,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Samsung,Ultrabook,15.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.17,90522.72,0,0,1920,1080,146.86047800548656,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8,256 SSD,Intel HD Graphics 630,Windows 10,2.31,76030.56,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,16,512 SSD,Intel HD Graphics 620,Windows 10,1.93,76012.44480000001,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,512,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Razer,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32,1000 SSD,Nvidia GeForce GTX 1080,Windows 10,3.49,324954.72,1,0,3840,2160,254.67134914246222,Intel Core i7,Intel Core i7,0,1000,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
HP,Notebook,14.0,1366x768,Intel Core i3 7100U 2.4GHz,4,500 HDD,Intel HD Graphics 620,Windows 10,1.64,36443.52,0,0,1366,768,111.93520355955211,Intel Core i3,Intel Core i3,500,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Asus,Gaming,17.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6700HQ 2.6GHz,24,256 SSD +  1000 HDD,Nvidia GeForce GTX 965M,Windows 10,4.33,67612.31999999999,1,1,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Asus,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,4,500 HDD,Nvidia GeForce 920M,Windows 10,2.2,38378.6496,0,0,1366,768,100.45466986113651,Intel Core i7,Intel Core i7,500,0,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Dell,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 6100U 2.3GHz,4,1000 HDD,Intel HD Graphics 520,Windows 10,2.08,42410.3472,1,1,1920,1080,141.21199808219862,Intel Core i3,Intel Core i3,1000,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 960M,Windows 10,2.6,42037.92,0,1,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,1,0,0
HP,Notebook,15.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,8,2000 HDD,Intel HD Graphics 405,Windows 10,2.04,20725.92,0,0,1366,768,100.45466986113651,Intel Pentium Quad,Other Intel Processor,2000,0,0,0,Intel,Windows,0,1,0,0,0,0,0,1
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.84,64948.32,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.32,87912.0,0,1,1920,1080,157.3505121487356,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256 SSD,Nvidia GeForce GTX 1050,No OS,2.4,41505.12,0,1,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux,0,0,1,0,0,1,0,0
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.95,74059.2,0,1,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
